"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Sep 05 20:26:10 GMT 2024","Thu Sep 05 20:26:11 GMT 2024","13","","Dummy Backend testen","","1. Als dummy testproject wil ik een simpele rekensom oplossen","","1. Als dummy testproject wil ik een simpele rekensom oplossen",""
"passed","Thu Sep 05 20:26:10 GMT 2024","Thu Sep 05 20:26:11 GMT 2024","479","","Dummy Backend testen","","2. Als dummy testproject wil ik een simpele stub maken en deze via REST valideren","","2. Als dummy testproject wil ik een simpele stub maken en deze via REST valideren",""
"passed","Thu Sep 05 20:26:11 GMT 2024","Thu Sep 05 20:26:18 GMT 2024","7704","","Dummy Frontend testen","","3. Als tester wil ik een xml bestand kunnen downloaden en hier een waarde uithalen om in te vullen in de FE","","3. Als tester wil ik een xml bestand kunnen downloaden en hier een waarde uithalen om in te vullen in de FE",""
"failed","Thu Sep 05 20:26:10 GMT 2024","Thu Sep 05 20:26:27 GMT 2024","16905","","Dummy Frontend testen","","4. Als tester wil ik het aantal opties uit een auto-complete veld tellen en versturen via de FE","","4. Als tester wil ik het aantal opties uit een auto-complete veld tellen en versturen via de FE",""
"passed","Thu Sep 05 20:26:10 GMT 2024","Thu Sep 05 20:26:17 GMT 2024","6946","","Dummy Frontend testen","","1. Als dummy testproject wil ik een simpele succesmelding kunnen valideren","","1. Als dummy testproject wil ik een simpele succesmelding kunnen valideren",""
"passed","Thu Sep 05 20:26:10 GMT 2024","Thu Sep 05 20:26:17 GMT 2024","6604","","Dummy Frontend testen","","2. Als dummy testproject wil ik de afwezigheid van een succesmelding kunnen valideren","","2. Als dummy testproject wil ik de afwezigheid van een succesmelding kunnen valideren",""
