"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Feb 04 11:31:14 GMT 2024","Sun Feb 04 11:31:23 GMT 2024","9372","","Dummy Frontend testen","","3. Als tester wil ik een xml bestand kunnen downloaden en hier een waarde uithalen om in te vullen in de FE","","3. Als tester wil ik een xml bestand kunnen downloaden en hier een waarde uithalen om in te vullen in de FE",""
"passed","Sun Feb 04 11:31:14 GMT 2024","Sun Feb 04 11:31:14 GMT 2024","3","","Dummy Backend testen","","1. Als dummy testproject wil ik een simpele rekensom oplossen","","1. Als dummy testproject wil ik een simpele rekensom oplossen",""
"passed","Sun Feb 04 11:31:14 GMT 2024","Sun Feb 04 11:31:22 GMT 2024","8273","","Dummy Frontend testen","","1. Als dummy testproject wil ik een simpele succesmelding kunnen valideren","","1. Als dummy testproject wil ik een simpele succesmelding kunnen valideren",""
"passed","Sun Feb 04 11:31:14 GMT 2024","Sun Feb 04 11:31:14 GMT 2024","438","","Dummy Backend testen","","2. Als dummy testproject wil ik een simpele stub maken en deze via REST valideren","","2. Als dummy testproject wil ik een simpele stub maken en deze via REST valideren",""
"passed","Sun Feb 04 11:31:14 GMT 2024","Sun Feb 04 11:31:22 GMT 2024","7949","","Dummy Frontend testen","","2. Als dummy testproject wil ik de afwezigheid van een succesmelding kunnen valideren","","2. Als dummy testproject wil ik de afwezigheid van een succesmelding kunnen valideren",""
"passed","Sun Feb 04 11:31:14 GMT 2024","Sun Feb 04 11:31:22 GMT 2024","8477","","Dummy Frontend testen","","4. Als tester wil ik het aantal opties uit een auto-complete veld tellen en versturen via de FE","","4. Als tester wil ik het aantal opties uit een auto-complete veld tellen en versturen via de FE",""
