"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Apr 07 20:22:13 GMT 2024","Sun Apr 07 20:22:13 GMT 2024","607","","Dummy Backend testen","","2. Als dummy testproject wil ik een simpele stub maken en deze via REST valideren","","2. Als dummy testproject wil ik een simpele stub maken en deze via REST valideren",""
"passed","Sun Apr 07 20:22:13 GMT 2024","Sun Apr 07 20:22:13 GMT 2024","10","","Dummy Backend testen","","1. Als dummy testproject wil ik een simpele rekensom oplossen","","1. Als dummy testproject wil ik een simpele rekensom oplossen",""
"failed","Sun Apr 07 20:22:13 GMT 2024","Sun Apr 07 20:22:28 GMT 2024","15172","","Dummy Frontend testen","","4. Als tester wil ik het aantal opties uit een auto-complete veld tellen en versturen via de FE","","4. Als tester wil ik het aantal opties uit een auto-complete veld tellen en versturen via de FE",""
"failed","Sun Apr 07 20:22:13 GMT 2024","Sun Apr 07 20:22:28 GMT 2024","14973","","Dummy Frontend testen","","3. Als tester wil ik een xml bestand kunnen downloaden en hier een waarde uithalen om in te vullen in de FE","","3. Als tester wil ik een xml bestand kunnen downloaden en hier een waarde uithalen om in te vullen in de FE",""
"failed","Sun Apr 07 20:22:13 GMT 2024","Sun Apr 07 20:22:28 GMT 2024","15047","","Dummy Frontend testen","","2. Als dummy testproject wil ik de afwezigheid van een succesmelding kunnen valideren","","2. Als dummy testproject wil ik de afwezigheid van een succesmelding kunnen valideren",""
"failed","Sun Apr 07 20:22:13 GMT 2024","Sun Apr 07 20:22:28 GMT 2024","15050","","Dummy Frontend testen","","1. Als dummy testproject wil ik een simpele succesmelding kunnen valideren","","1. Als dummy testproject wil ik een simpele succesmelding kunnen valideren",""
