"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Jul 31 22:27:52 GMT 2024","Wed Jul 31 22:28:08 GMT 2024","15739","","Dummy Frontend testen","","2. Als dummy testproject wil ik de afwezigheid van een succesmelding kunnen valideren","","2. Als dummy testproject wil ik de afwezigheid van een succesmelding kunnen valideren",""
"failed","Wed Jul 31 22:27:52 GMT 2024","Wed Jul 31 22:28:08 GMT 2024","15584","","Dummy Frontend testen","","4. Als tester wil ik het aantal opties uit een auto-complete veld tellen en versturen via de FE","","4. Als tester wil ik het aantal opties uit een auto-complete veld tellen en versturen via de FE",""
"passed","Wed Jul 31 22:27:52 GMT 2024","Wed Jul 31 22:27:52 GMT 2024","481","","Dummy Backend testen","","2. Als dummy testproject wil ik een simpele stub maken en deze via REST valideren","","2. Als dummy testproject wil ik een simpele stub maken en deze via REST valideren",""
"failed","Wed Jul 31 22:27:52 GMT 2024","Wed Jul 31 22:28:08 GMT 2024","15697","","Dummy Frontend testen","","3. Als tester wil ik een xml bestand kunnen downloaden en hier een waarde uithalen om in te vullen in de FE","","3. Als tester wil ik een xml bestand kunnen downloaden en hier een waarde uithalen om in te vullen in de FE",""
"passed","Wed Jul 31 22:27:53 GMT 2024","Wed Jul 31 22:27:53 GMT 2024","2","","Dummy Backend testen","","1. Als dummy testproject wil ik een simpele rekensom oplossen","","1. Als dummy testproject wil ik een simpele rekensom oplossen",""
"failed","Wed Jul 31 22:27:52 GMT 2024","Wed Jul 31 22:28:08 GMT 2024","15711","","Dummy Frontend testen","","1. Als dummy testproject wil ik een simpele succesmelding kunnen valideren","","1. Als dummy testproject wil ik een simpele succesmelding kunnen valideren",""
