"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Mar 21 23:27:41 GMT 2024","Thu Mar 21 23:27:41 GMT 2024","16","","Dummy Backend testen","","1. Als dummy testproject wil ik een simpele rekensom oplossen","","1. Als dummy testproject wil ik een simpele rekensom oplossen",""
"failed","Thu Mar 21 23:27:41 GMT 2024","Thu Mar 21 23:27:59 GMT 2024","18031","","Dummy Frontend testen","","2. Als dummy testproject wil ik de afwezigheid van een succesmelding kunnen valideren","","2. Als dummy testproject wil ik de afwezigheid van een succesmelding kunnen valideren",""
"passed","Thu Mar 21 23:27:41 GMT 2024","Thu Mar 21 23:27:41 GMT 2024","519","","Dummy Backend testen","","2. Als dummy testproject wil ik een simpele stub maken en deze via REST valideren","","2. Als dummy testproject wil ik een simpele stub maken en deze via REST valideren",""
"failed","Thu Mar 21 23:27:41 GMT 2024","Thu Mar 21 23:27:59 GMT 2024","18184","","Dummy Frontend testen","","1. Als dummy testproject wil ik een simpele succesmelding kunnen valideren","","1. Als dummy testproject wil ik een simpele succesmelding kunnen valideren",""
"failed","Thu Mar 21 23:27:41 GMT 2024","Thu Mar 21 23:27:59 GMT 2024","18246","","Dummy Frontend testen","","4. Als tester wil ik het aantal opties uit een auto-complete veld tellen en versturen via de FE","","4. Als tester wil ik het aantal opties uit een auto-complete veld tellen en versturen via de FE",""
"failed","Thu Mar 21 23:27:41 GMT 2024","Thu Mar 21 23:27:59 GMT 2024","18265","","Dummy Frontend testen","","3. Als tester wil ik een xml bestand kunnen downloaden en hier een waarde uithalen om in te vullen in de FE","","3. Als tester wil ik een xml bestand kunnen downloaden en hier een waarde uithalen om in te vullen in de FE",""
