"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Jun 19 20:21:07 GMT 2024","Wed Jun 19 20:21:22 GMT 2024","14964","","Dummy Frontend testen","","3. Als tester wil ik een xml bestand kunnen downloaden en hier een waarde uithalen om in te vullen in de FE","","3. Als tester wil ik een xml bestand kunnen downloaden en hier een waarde uithalen om in te vullen in de FE",""
"passed","Wed Jun 19 20:21:07 GMT 2024","Wed Jun 19 20:21:08 GMT 2024","572","","Dummy Backend testen","","2. Als dummy testproject wil ik een simpele stub maken en deze via REST valideren","","2. Als dummy testproject wil ik een simpele stub maken en deze via REST valideren",""
"failed","Wed Jun 19 20:21:07 GMT 2024","Wed Jun 19 20:21:22 GMT 2024","14934","","Dummy Frontend testen","","4. Als tester wil ik het aantal opties uit een auto-complete veld tellen en versturen via de FE","","4. Als tester wil ik het aantal opties uit een auto-complete veld tellen en versturen via de FE",""
"failed","Wed Jun 19 20:21:07 GMT 2024","Wed Jun 19 20:21:22 GMT 2024","15034","","Dummy Frontend testen","","1. Als dummy testproject wil ik een simpele succesmelding kunnen valideren","","1. Als dummy testproject wil ik een simpele succesmelding kunnen valideren",""
"passed","Wed Jun 19 20:21:07 GMT 2024","Wed Jun 19 20:21:07 GMT 2024","4","","Dummy Backend testen","","1. Als dummy testproject wil ik een simpele rekensom oplossen","","1. Als dummy testproject wil ik een simpele rekensom oplossen",""
"failed","Wed Jun 19 20:21:07 GMT 2024","Wed Jun 19 20:21:22 GMT 2024","15328","","Dummy Frontend testen","","2. Als dummy testproject wil ik de afwezigheid van een succesmelding kunnen valideren","","2. Als dummy testproject wil ik de afwezigheid van een succesmelding kunnen valideren",""
