"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sat Jul 13 10:54:46 GMT 2024","Sat Jul 13 10:55:01 GMT 2024","15062","","Dummy Frontend testen","","1. Als dummy testproject wil ik een simpele succesmelding kunnen valideren","","1. Als dummy testproject wil ik een simpele succesmelding kunnen valideren",""
"failed","Sat Jul 13 10:54:46 GMT 2024","Sat Jul 13 10:55:01 GMT 2024","15109","","Dummy Frontend testen","","2. Als dummy testproject wil ik de afwezigheid van een succesmelding kunnen valideren","","2. Als dummy testproject wil ik de afwezigheid van een succesmelding kunnen valideren",""
"passed","Sat Jul 13 10:54:46 GMT 2024","Sat Jul 13 10:54:47 GMT 2024","526","","Dummy Backend testen","","2. Als dummy testproject wil ik een simpele stub maken en deze via REST valideren","","2. Als dummy testproject wil ik een simpele stub maken en deze via REST valideren",""
"failed","Sat Jul 13 10:54:46 GMT 2024","Sat Jul 13 10:55:01 GMT 2024","15331","","Dummy Frontend testen","","3. Als tester wil ik een xml bestand kunnen downloaden en hier een waarde uithalen om in te vullen in de FE","","3. Als tester wil ik een xml bestand kunnen downloaden en hier een waarde uithalen om in te vullen in de FE",""
"passed","Sat Jul 13 10:54:47 GMT 2024","Sat Jul 13 10:54:47 GMT 2024","2","","Dummy Backend testen","","1. Als dummy testproject wil ik een simpele rekensom oplossen","","1. Als dummy testproject wil ik een simpele rekensom oplossen",""
"failed","Sat Jul 13 10:54:46 GMT 2024","Sat Jul 13 10:55:01 GMT 2024","15100","","Dummy Frontend testen","","4. Als tester wil ik het aantal opties uit een auto-complete veld tellen en versturen via de FE","","4. Als tester wil ik het aantal opties uit een auto-complete veld tellen en versturen via de FE",""
