"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Jul 09 19:06:19 GMT 2024","Tue Jul 09 19:06:34 GMT 2024","15079","","Dummy Frontend testen","","4. Als tester wil ik het aantal opties uit een auto-complete veld tellen en versturen via de FE","","4. Als tester wil ik het aantal opties uit een auto-complete veld tellen en versturen via de FE",""
"failed","Tue Jul 09 19:06:19 GMT 2024","Tue Jul 09 19:06:34 GMT 2024","15020","","Dummy Frontend testen","","2. Als dummy testproject wil ik de afwezigheid van een succesmelding kunnen valideren","","2. Als dummy testproject wil ik de afwezigheid van een succesmelding kunnen valideren",""
"failed","Tue Jul 09 19:06:19 GMT 2024","Tue Jul 09 19:06:34 GMT 2024","15094","","Dummy Frontend testen","","1. Als dummy testproject wil ik een simpele succesmelding kunnen valideren","","1. Als dummy testproject wil ik een simpele succesmelding kunnen valideren",""
"passed","Tue Jul 09 19:06:19 GMT 2024","Tue Jul 09 19:06:19 GMT 2024","473","","Dummy Backend testen","","2. Als dummy testproject wil ik een simpele stub maken en deze via REST valideren","","2. Als dummy testproject wil ik een simpele stub maken en deze via REST valideren",""
"failed","Tue Jul 09 19:06:19 GMT 2024","Tue Jul 09 19:06:34 GMT 2024","15054","","Dummy Frontend testen","","3. Als tester wil ik een xml bestand kunnen downloaden en hier een waarde uithalen om in te vullen in de FE","","3. Als tester wil ik een xml bestand kunnen downloaden en hier een waarde uithalen om in te vullen in de FE",""
"passed","Tue Jul 09 19:06:19 GMT 2024","Tue Jul 09 19:06:19 GMT 2024","3","","Dummy Backend testen","","1. Als dummy testproject wil ik een simpele rekensom oplossen","","1. Als dummy testproject wil ik een simpele rekensom oplossen",""
