"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jun 14 19:07:44 GMT 2024","Fri Jun 14 19:07:44 GMT 2024","32","","Dummy Backend testen","","1. Als dummy testproject wil ik een simpele rekensom oplossen","","1. Als dummy testproject wil ik een simpele rekensom oplossen",""
"failed","Fri Jun 14 19:07:44 GMT 2024","Fri Jun 14 19:07:59 GMT 2024","15167","","Dummy Frontend testen","","4. Als tester wil ik het aantal opties uit een auto-complete veld tellen en versturen via de FE","","4. Als tester wil ik het aantal opties uit een auto-complete veld tellen en versturen via de FE",""
"failed","Fri Jun 14 19:07:44 GMT 2024","Fri Jun 14 19:07:59 GMT 2024","15145","","Dummy Frontend testen","","1. Als dummy testproject wil ik een simpele succesmelding kunnen valideren","","1. Als dummy testproject wil ik een simpele succesmelding kunnen valideren",""
"failed","Fri Jun 14 19:07:44 GMT 2024","Fri Jun 14 19:07:59 GMT 2024","15095","","Dummy Frontend testen","","3. Als tester wil ik een xml bestand kunnen downloaden en hier een waarde uithalen om in te vullen in de FE","","3. Als tester wil ik een xml bestand kunnen downloaden en hier een waarde uithalen om in te vullen in de FE",""
"passed","Fri Jun 14 19:07:44 GMT 2024","Fri Jun 14 19:07:44 GMT 2024","636","","Dummy Backend testen","","2. Als dummy testproject wil ik een simpele stub maken en deze via REST valideren","","2. Als dummy testproject wil ik een simpele stub maken en deze via REST valideren",""
"failed","Fri Jun 14 19:07:44 GMT 2024","Fri Jun 14 19:07:59 GMT 2024","15000","","Dummy Frontend testen","","2. Als dummy testproject wil ik de afwezigheid van een succesmelding kunnen valideren","","2. Als dummy testproject wil ik de afwezigheid van een succesmelding kunnen valideren",""
