"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sat Apr 13 11:41:06 GMT 2024","Sat Apr 13 11:41:20 GMT 2024","14841","","Dummy Frontend testen","","2. Als dummy testproject wil ik de afwezigheid van een succesmelding kunnen valideren","","2. Als dummy testproject wil ik de afwezigheid van een succesmelding kunnen valideren",""
"failed","Sat Apr 13 11:41:06 GMT 2024","Sat Apr 13 11:41:20 GMT 2024","14911","","Dummy Frontend testen","","3. Als tester wil ik een xml bestand kunnen downloaden en hier een waarde uithalen om in te vullen in de FE","","3. Als tester wil ik een xml bestand kunnen downloaden en hier een waarde uithalen om in te vullen in de FE",""
"passed","Sat Apr 13 11:41:06 GMT 2024","Sat Apr 13 11:41:06 GMT 2024","609","","Dummy Backend testen","","2. Als dummy testproject wil ik een simpele stub maken en deze via REST valideren","","2. Als dummy testproject wil ik een simpele stub maken en deze via REST valideren",""
"passed","Sat Apr 13 11:41:06 GMT 2024","Sat Apr 13 11:41:06 GMT 2024","23","","Dummy Backend testen","","1. Als dummy testproject wil ik een simpele rekensom oplossen","","1. Als dummy testproject wil ik een simpele rekensom oplossen",""
"failed","Sat Apr 13 11:41:06 GMT 2024","Sat Apr 13 11:41:21 GMT 2024","15115","","Dummy Frontend testen","","1. Als dummy testproject wil ik een simpele succesmelding kunnen valideren","","1. Als dummy testproject wil ik een simpele succesmelding kunnen valideren",""
"failed","Sat Apr 13 11:41:06 GMT 2024","Sat Apr 13 11:41:21 GMT 2024","15191","","Dummy Frontend testen","","4. Als tester wil ik het aantal opties uit een auto-complete veld tellen en versturen via de FE","","4. Als tester wil ik het aantal opties uit een auto-complete veld tellen en versturen via de FE",""
