"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Apr 28 18:49:29 GMT 2024","Sun Apr 28 18:49:29 GMT 2024","473","","Dummy Backend testen","","2. Als dummy testproject wil ik een simpele stub maken en deze via REST valideren","","2. Als dummy testproject wil ik een simpele stub maken en deze via REST valideren",""
"failed","Sun Apr 28 18:49:29 GMT 2024","Sun Apr 28 18:49:43 GMT 2024","14492","","Dummy Frontend testen","","2. Als dummy testproject wil ik de afwezigheid van een succesmelding kunnen valideren","","2. Als dummy testproject wil ik de afwezigheid van een succesmelding kunnen valideren",""
"failed","Sun Apr 28 18:49:29 GMT 2024","Sun Apr 28 18:49:43 GMT 2024","14528","","Dummy Frontend testen","","4. Als tester wil ik het aantal opties uit een auto-complete veld tellen en versturen via de FE","","4. Als tester wil ik het aantal opties uit een auto-complete veld tellen en versturen via de FE",""
"failed","Sun Apr 28 18:49:29 GMT 2024","Sun Apr 28 18:49:43 GMT 2024","14357","","Dummy Frontend testen","","1. Als dummy testproject wil ik een simpele succesmelding kunnen valideren","","1. Als dummy testproject wil ik een simpele succesmelding kunnen valideren",""
"passed","Sun Apr 28 18:49:29 GMT 2024","Sun Apr 28 18:49:29 GMT 2024","3","","Dummy Backend testen","","1. Als dummy testproject wil ik een simpele rekensom oplossen","","1. Als dummy testproject wil ik een simpele rekensom oplossen",""
"failed","Sun Apr 28 18:49:29 GMT 2024","Sun Apr 28 18:49:43 GMT 2024","14346","","Dummy Frontend testen","","3. Als tester wil ik een xml bestand kunnen downloaden en hier een waarde uithalen om in te vullen in de FE","","3. Als tester wil ik een xml bestand kunnen downloaden en hier een waarde uithalen om in te vullen in de FE",""
