"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Oct 22 17:25:36 GMT 2024","Tue Oct 22 17:25:43 GMT 2024","6989","","Dummy Frontend testen","","2. Als dummy testproject wil ik de afwezigheid van een succesmelding kunnen valideren","","2. Als dummy testproject wil ik de afwezigheid van een succesmelding kunnen valideren",""
"passed","Tue Oct 22 17:25:36 GMT 2024","Tue Oct 22 17:25:36 GMT 2024","24","","Dummy Backend testen","","1. Als dummy testproject wil ik een simpele rekensom oplossen","","1. Als dummy testproject wil ik een simpele rekensom oplossen",""
"passed","Tue Oct 22 17:25:36 GMT 2024","Tue Oct 22 17:25:36 GMT 2024","531","","Dummy Backend testen","","2. Als dummy testproject wil ik een simpele stub maken en deze via REST valideren","","2. Als dummy testproject wil ik een simpele stub maken en deze via REST valideren",""
"failed","Tue Oct 22 17:25:36 GMT 2024","Tue Oct 22 17:25:53 GMT 2024","16904","","Dummy Frontend testen","","4. Als tester wil ik het aantal opties uit een auto-complete veld tellen en versturen via de FE","","4. Als tester wil ik het aantal opties uit een auto-complete veld tellen en versturen via de FE",""
"passed","Tue Oct 22 17:25:36 GMT 2024","Tue Oct 22 17:25:43 GMT 2024","7836","","Dummy Frontend testen","","1. Als dummy testproject wil ik een simpele succesmelding kunnen valideren","","1. Als dummy testproject wil ik een simpele succesmelding kunnen valideren",""
"passed","Tue Oct 22 17:25:36 GMT 2024","Tue Oct 22 17:25:45 GMT 2024","9053","","Dummy Frontend testen","","3. Als tester wil ik een xml bestand kunnen downloaden en hier een waarde uithalen om in te vullen in de FE","","3. Als tester wil ik een xml bestand kunnen downloaden en hier een waarde uithalen om in te vullen in de FE",""
