"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri May 17 17:16:08 GMT 2024","Fri May 17 17:16:24 GMT 2024","15599","","Dummy Frontend testen","","3. Als tester wil ik een xml bestand kunnen downloaden en hier een waarde uithalen om in te vullen in de FE","","3. Als tester wil ik een xml bestand kunnen downloaden en hier een waarde uithalen om in te vullen in de FE",""
"failed","Fri May 17 17:16:08 GMT 2024","Fri May 17 17:16:24 GMT 2024","15605","","Dummy Frontend testen","","1. Als dummy testproject wil ik een simpele succesmelding kunnen valideren","","1. Als dummy testproject wil ik een simpele succesmelding kunnen valideren",""
"passed","Fri May 17 17:16:09 GMT 2024","Fri May 17 17:16:09 GMT 2024","7","","Dummy Backend testen","","1. Als dummy testproject wil ik een simpele rekensom oplossen","","1. Als dummy testproject wil ik een simpele rekensom oplossen",""
"failed","Fri May 17 17:16:08 GMT 2024","Fri May 17 17:16:24 GMT 2024","15675","","Dummy Frontend testen","","4. Als tester wil ik het aantal opties uit een auto-complete veld tellen en versturen via de FE","","4. Als tester wil ik het aantal opties uit een auto-complete veld tellen en versturen via de FE",""
"passed","Fri May 17 17:16:08 GMT 2024","Fri May 17 17:16:09 GMT 2024","671","","Dummy Backend testen","","2. Als dummy testproject wil ik een simpele stub maken en deze via REST valideren","","2. Als dummy testproject wil ik een simpele stub maken en deze via REST valideren",""
"failed","Fri May 17 17:16:08 GMT 2024","Fri May 17 17:16:24 GMT 2024","15661","","Dummy Frontend testen","","2. Als dummy testproject wil ik de afwezigheid van een succesmelding kunnen valideren","","2. Als dummy testproject wil ik de afwezigheid van een succesmelding kunnen valideren",""
